V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,subj_idx,epoch,item_number,rt,has_answered,image_more_rewarded,rt_choice,feedback,image_chosen,intertrial_delay,img_1_position,img_2_position,total_feedback,trial,subj_code_1,Task2noRev_n_1,context_1,control_1,post_context_1,coin,TIME_start,TIME_end,TIME_total
epoc1,prltask1,3,6412,1,image1_rewarded8,2389,1,1,500,-230,230,16,prl_EMA_norev_neutral.2023-06-27-2102.data.b6d0973e-77f8-46cf-97bd-d01fc16cf999.txt,epoc1,3,6412,1,image1_rewarded8,2389,1,1,500,-230,230,16,1,3493404335,prl_EMA_norev_neutral.2023-06-27-2102.data.b6d0973e-77f8-46cf-97bd-d01fc16cf999.txt,15,3,0,21,2023-06-27-20-57,2023-06-27-21-03,6
epoc1,prltask1,3,5975,1,image1_rewarded8,952,1,1,650,-230,230,17,prl_EMA_norev_neutral.2023-06-27-2102.data.b6d0973e-77f8-46cf-97bd-d01fc16cf999.txt,epoc1,3,5975,1,image1_rewarded8,952,1,1,650,-230,230,17,2,3493404335,prl_EMA_norev_neutral.2023-06-27-2102.data.b6d0973e-77f8-46cf-97bd-d01fc16cf999.txt,15,3,0,21,2023-06-27-20-57,2023-06-27-21-03,6
epoc1,prltask2,3,2930,1,image1_rewarded8,566,2,1,950,230,-230,16,prl_EMA_norev_neutral.2023-06-27-2102.data.b6d0973e-77f8-46cf-97bd-d01fc16cf999.txt,epoc1,3,2930,1,image1_rewarded8,566,0,1,950,230,-230,16,3,3493404335,prl_EMA_norev_neutral.2023-06-27-2102.data.b6d0973e-77f8-46cf-97bd-d01fc16cf999.txt,15,3,0,21,2023-06-27-20-57,2023-06-27-21-03,6
epoc1,prltask1,4,2718,1,image1_rewarded8,726,1,1,650,-230,230,17,prl_EMA_norev_neutral.2023-06-27-2102.data.b6d0973e-77f8-46cf-97bd-d01fc16cf999.txt,epoc1,4,2718,1,image1_rewarded8,726,1,1,650,-230,230,17,4,3493404335,prl_EMA_norev_neutral.2023-06-27-2102.data.b6d0973e-77f8-46cf-97bd-d01fc16cf999.txt,15,3,0,21,2023-06-27-20-57,2023-06-27-21-03,6
epoc1,prltask1,3,3268,1,image1_rewarded8,934,2,2,950,230,-230,16,prl_EMA_norev_neutral.2023-06-27-2102.data.b6d0973e-77f8-46cf-97bd-d01fc16cf999.txt,epoc1,3,3268,1,image1_rewarded8,934,0,2,950,230,-230,16,5,3493404335,prl_EMA_norev_neutral.2023-06-27-2102.data.b6d0973e-77f8-46cf-97bd-d01fc16cf999.txt,15,3,0,21,2023-06-27-20-57,2023-06-27-21-03,6
epoc1,prltask1,3,2987,1,image1_rewarded8,1453,2,2,500,-230,230,15,prl_EMA_norev_neutral.2023-06-27-2102.data.b6d0973e-77f8-46cf-97bd-d01fc16cf999.txt,epoc1,3,2987,1,image1_rewarded8,1453,0,2,500,-230,230,15,6,3493404335,prl_EMA_norev_neutral.2023-06-27-2102.data.b6d0973e-77f8-46cf-97bd-d01fc16cf999.txt,15,3,0,21,2023-06-27-20-57,2023-06-27-21-03,6
epoc1,prltask1,3,2660,1,image1_rewarded8,957,1,1,950,230,-230,16,prl_EMA_norev_neutral.2023-06-27-2102.data.b6d0973e-77f8-46cf-97bd-d01fc16cf999.txt,epoc1,3,2660,1,image1_rewarded8,957,1,1,950,230,-230,16,7,3493404335,prl_EMA_norev_neutral.2023-06-27-2102.data.b6d0973e-77f8-46cf-97bd-d01fc16cf999.txt,15,3,0,21,2023-06-27-20-57,2023-06-27-21-03,6
epoc1,prltask1,4,2686,1,image1_rewarded8,574,1,1,950,230,-230,17,prl_EMA_norev_neutral.2023-06-27-2102.data.b6d0973e-77f8-46cf-97bd-d01fc16cf999.txt,epoc1,4,2686,1,image1_rewarded8,574,1,1,950,230,-230,17,8,3493404335,prl_EMA_norev_neutral.2023-06-27-2102.data.b6d0973e-77f8-46cf-97bd-d01fc16cf999.txt,15,3,0,21,2023-06-27-20-57,2023-06-27-21-03,6
epoc1,prltask1,4,2778,1,image1_rewarded8,1335,1,1,800,230,-230,18,prl_EMA_norev_neutral.2023-06-27-2102.data.b6d0973e-77f8-46cf-97bd-d01fc16cf999.txt,epoc1,4,2778,1,image1_rewarded8,1335,1,1,800,230,-230,18,9,3493404335,prl_EMA_norev_neutral.2023-06-27-2102.data.b6d0973e-77f8-46cf-97bd-d01fc16cf999.txt,15,3,0,21,2023-06-27-20-57,2023-06-27-21-03,6
epoc1,prltask1,4,2595,1,image1_rewarded8,1230,1,1,950,-230,230,19,prl_EMA_norev_neutral.2023-06-27-2102.data.b6d0973e-77f8-46cf-97bd-d01fc16cf999.txt,epoc1,4,2595,1,image1_rewarded8,1230,1,1,950,-230,230,19,10,3493404335,prl_EMA_norev_neutral.2023-06-27-2102.data.b6d0973e-77f8-46cf-97bd-d01fc16cf999.txt,15,3,0,21,2023-06-27-20-57,2023-06-27-21-03,6
